XR_007068865.1	ADCY3
NM_001377130.1	ADCY3
NM_001377129.1	ADCY3
XM_047443014.1	ADCY3
XM_047443012.1	ADCY3
NM_004036.5	ADCY3
XM_047443009.1	ADCY3
XM_047443010.1	ADCY3
NM_001320613.2	ADCY3
XM_047443008.1	ADCY3
XM_017003187.2	ADCY3
XM_011532491.2	ADCY3
XM_011532494.2	ADCY3
XM_047443013.1	ADCY3
NM_001377128.1	ADCY3
XM_047443007.1	ADCY3
XM_006711925.2	ADCY3
XM_047443006.1	ADCY3
XM_017003189.2	ADCY3
XM_047443011.1	ADCY3
XM_011532493.2	ADCY3
XM_011532490.2	ADCY3
XM_017003188.2	ADCY3
XM_011532489.2	ADCY3
XM_011532492.3	ADCY3
XM_047443005.1	ADCY3
NM_001377132.1	ADCY3
XM_047443016.1	ADCY3
XM_017003191.1	ADCY3
NM_001377131.1	ADCY3
XM_047443015.1	ADCY3
XR_008486253.1	ADCY3
XM_054340246.1	ADCY3
XM_054340244.1	ADCY3
XM_054340241.1	ADCY3
XM_054340242.1	ADCY3
XM_054340240.1	ADCY3
XM_054340231.1	ADCY3
XM_054340230.1	ADCY3
XM_054340239.1	ADCY3
XM_054340245.1	ADCY3
XM_054340238.1	ADCY3
XM_054340229.1	ADCY3
XM_054340237.1	ADCY3
XM_054340236.1	ADCY3
XM_054340243.1	ADCY3
XM_054340235.1	ADCY3
XM_054340228.1	ADCY3
XM_054340233.1	ADCY3
XM_054340227.1	ADCY3
XM_054340232.1	ADCY3
XM_054340234.1	ADCY3
XM_054340249.1	ADCY3
XM_054340247.1	ADCY3
XM_054340248.1	ADCY3
NM_001138.2	AGRP
XM_047433694.1	AGRP
NM_032139.3	ANKRD27
XM_011537912.3	ANO4
XM_011537911.3	ANO4
XM_047428302.1	ANO4
XM_011537913.3	ANO4
XM_047428308.1	ANO4
XM_011537915.3	ANO4
XM_047428305.1	ANO4
XM_047428303.1	ANO4
XM_047428307.1	ANO4
XM_047428306.1	ANO4
XM_011537918.3	ANO4
NM_001286615.2	ANO4
NM_178826.4	ANO4
XM_011537916.3	ANO4
NM_001286616.1	ANO4
XM_024448842.2	ANO4
XM_024448841.2	ANO4
XM_054371108.1	ANO4
XM_054371111.1	ANO4
XM_054371105.1	ANO4
XM_054371107.1	ANO4
XM_054371106.1	ANO4
XM_054371104.1	ANO4
XM_054371113.1	ANO4
XM_054371112.1	ANO4
XM_054371109.1	ANO4
XM_054371110.1	ANO4
XM_054371117.1	ANO4
XM_054371114.1	ANO4
XM_054371116.1	ANO4
XM_054371115.1	ANO4
NM_170731.5	BDNF
NM_001143805.1	BDNF
NM_001143806.1	BDNF
NM_170732.4	BDNF
NM_001143807.2	BDNF
NM_170733.4	BDNF
NM_001143808.2	BDNF
NM_001143809.2	BDNF
NM_001143810.2	BDNF
NM_001143811.2	BDNF
NM_001143812.2	BDNF
NM_001143813.2	BDNF
NM_001709.5	BDNF
NM_001143814.2	BDNF
NM_170734.4	BDNF
